what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478529334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478529680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478529704
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1348478532437
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348478534699
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1348478537305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478537585
error,log,,,"The current branch is not configured for pull",1348478537614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478543460
activated,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1348478545173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478549919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478549951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478550003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478580988
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Push",1348478580999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478581302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478584087
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348478584964
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1348478588825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478589102
error,log,,,"The current branch is not configured for pull",1348478589131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478590459
activated,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1348478592620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478602560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478611036
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimpleFetch",1348478619184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478619455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478620248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478620285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478621655
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimpleFetch",1348478626992
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478627262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478627914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478627963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478629252
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1348478631344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478631628
error,log,,,"The current branch is not configured for pull",1348478631657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478632620
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348478633568
opened,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1348478636602
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1348478636636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478637030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478637267
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348478642460
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1348478645850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478646234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478646362
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348478653506
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1348478653702
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348478656232
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1348478661680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478661952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478663585
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1348478668401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348478668680
